[2026-01-30 18:13:55 EST] IP: 127.0.0.1 | Action: COMMAND_HOVER_AT_ALTITUDE | Response: Command hover_at_altitude acknowledged (simulation mode)
[2026-01-30 18:45:43 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_MOVE_JOINT | Response: Command arm_move_joint acknowledged (simulation mode)
[2026-01-30 18:45:43 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_MOVE_JOINT | Response: Command arm_move_joint acknowledged (simulation mode)
[2026-01-30 18:45:43 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_MOVE_JOINT | Response: Command arm_move_joint acknowledged (simulation mode)
[2026-01-30 18:45:43 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_MOVE_JOINT | Response: Command arm_move_joint acknowledged (simulation mode)
[2026-01-30 18:45:43 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_MOVE_JOINT | Response: Command arm_move_joint acknowledged (simulation mode)
[2026-01-30 18:45:43 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_MOVE_JOINT | Response: Command arm_move_joint acknowledged (simulation mode)
[2026-01-30 18:45:46 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:46 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:46 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:46 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:46 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:46 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:46 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:46 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:46 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:47 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:47 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:47 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:47 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:47 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:47 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:47 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:47 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:47 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:47 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:47 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:47 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:47 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:47 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:47 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:47 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:47 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:47 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:47 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:48 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:48 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:48 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:48 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:48 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:48 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:48 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:48 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:48 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:48 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:48 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:48 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:48 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:48 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:48 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:48 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:48 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:48 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:48 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:48 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:48 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:49 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:49 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:49 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:49 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:49 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:49 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:49 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:49 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:49 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:49 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:49 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:49 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:49 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:49 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:49 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:49 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:49 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:49 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:49 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:50 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:50 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:50 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:50 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:50 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:50 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:50 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:50 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:50 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:50 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:50 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:50 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:50 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:50 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:50 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:50 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:50 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:51 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:51 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:45:52 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_PRESET | Response: Command arm_preset acknowledged (simulation mode)
[2026-01-30 18:45:56 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_PRESET | Response: Command arm_preset acknowledged (simulation mode)
[2026-01-30 18:45:59 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_PRESET | Response: Command arm_preset acknowledged (simulation mode)
[2026-01-30 18:46:00 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_PRESET | Response: Command arm_preset acknowledged (simulation mode)
[2026-01-30 18:46:01 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_PRESET | Response: Command arm_preset acknowledged (simulation mode)
[2026-01-30 18:46:02 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_PRESET | Response: Command arm_preset acknowledged (simulation mode)
[2026-01-30 18:46:03 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_PRESET | Response: Command arm_preset acknowledged (simulation mode)
[2026-01-30 18:46:11 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:11 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:11 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:11 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:11 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:11 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:11 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:11 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:11 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:11 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:11 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:11 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:11 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:11 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:12 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:12 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:12 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:12 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:12 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:12 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:12 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:12 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:12 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:12 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:12 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:12 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:12 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:12 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:12 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:12 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:12 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:13 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:13 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:13 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:13 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_GRIPPER | Response: Command arm_gripper acknowledged (simulation mode)
[2026-01-30 18:46:32 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_MOVE_JOINT | Response: Command arm_move_joint acknowledged (simulation mode)
[2026-01-30 18:46:32 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_MOVE_JOINT | Response: Command arm_move_joint acknowledged (simulation mode)
[2026-01-30 18:46:32 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_MOVE_JOINT | Response: Command arm_move_joint acknowledged (simulation mode)
[2026-01-30 18:46:32 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_MOVE_JOINT | Response: Command arm_move_joint acknowledged (simulation mode)
[2026-01-30 18:46:32 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_MOVE_JOINT | Response: Command arm_move_joint acknowledged (simulation mode)
[2026-01-30 18:46:33 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_MOVE_JOINT | Response: Command arm_move_joint acknowledged (simulation mode)
[2026-01-30 18:46:33 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_MOVE_JOINT | Response: Command arm_move_joint acknowledged (simulation mode)
[2026-01-30 18:46:33 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_MOVE_JOINT | Response: Command arm_move_joint acknowledged (simulation mode)
[2026-01-30 18:46:33 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_MOVE_JOINT | Response: Command arm_move_joint acknowledged (simulation mode)
[2026-01-30 18:46:33 EST] IP: 127.0.0.1 | Action: COMMAND_ARM_MOVE_JOINT | Response: Command arm_move_joint acknowledged (simulation mode)
